Date,Open,High,Low,Close,Volume
2013-06-24,39.6,39.93,39.37,39.75,15700
2013-06-25,39.95,39.99,39.67,39.83,9950
2013-06-26,40.12,40.3,40.12,40.3,400
2013-06-27,40.58,40.58,40.5,40.51,3200
2013-06-28,41.08,41.92,40.29,40.45,36100
2013-07-01,40.74,40.74,40.55,40.55,300
2013-07-02,41.15,41.15,40.45,40.65,220650
2013-07-03,40.55,40.67,39.75,40.66,16400
2013-07-05,40.73,40.94,40.27,40.27,3175
2013-07-08,39.75,41.16,39.75,41.1,5954
2013-07-09,41.28,41.36,41.17,41.36,5090
2013-07-10,41.27,41.37,41.22,41.33,8800
2013-07-11,41.7,41.7,41.55,41.62,8950
2013-07-12,41.61,41.7,41.6,41.7,9300
2013-07-15,41.8,41.88,41.73,41.88,13200
2013-07-16,41.81,41.81,41.66,41.77,16109
2013-07-17,42.23,42.23,41.8,41.86,60070
2013-07-18,41.9,42.03,41.87,41.96,13800
2013-07-19,42.42,42.42,41.88,41.98,32895
2013-07-22,41.96,42.05,41.92,41.99,14700
2013-07-23,42.06,42.06,41.66,41.66,22210
2013-07-24,41.99,41.99,41.69,41.77,16200
2013-07-25,41.7,41.87,41.66,41.86,14720
2013-07-26,41.53,42.24,41.49,41.86,10322
2013-07-29,41.83,41.88,41.66,41.77,11300
2013-07-30,41.97,42.19,41.73,41.75,19900
2013-07-31,42.16,42.16,41.47,41.94,20847
2013-08-01,42.19,42.29,42.16,42.27,7900
2013-08-02,42.27,42.27,42.04,42.1,7300
2013-08-05,42.2,42.25,42.18,42.21,8811
2013-08-06,42.13,42.2,41.98,42.2,7487
2013-08-07,42.99,42.99,41.75,41.94,30072
2013-08-08,42.07,42.14,41.92,42.14,7850
2013-08-09,42.66,42.66,41.89,41.98,14603
2013-08-12,41.83,41.9,41.67,41.9,5400
2013-08-13,41.87,42,41.75,41.94,4330
2013-08-14,41.9,41.9,41.82,41.86,7868
2013-08-15,41.43,41.45,41.29,41.38,7390
2013-08-16,41.28,41.35,41.15,41.21,7955
2013-08-19,41.1,41.18,40.93,40.93,4160
2013-08-20,41.03,41.24,41.02,41.14,6891
2013-08-21,41.56,41.56,40.84,40.84,5948
2013-08-22,40.94,41.58,40.92,41.06,4395
2013-08-23,41.07,41.32,41.07,41.3,14529
2013-08-26,41.3,41.34,41.21,41.21,3119
2013-08-27,41.63,41.63,40.41,40.52,22283
2013-08-28,40.5,40.7,40.5,40.62,2750
2013-08-29,40.85,40.9,40.69,40.9,14615
2013-08-30,40.54,40.6,40.46,40.59,2500
2013-09-03,40.99,41.08,40.66,40.75,9071
2013-09-04,40.77,41.13,40.77,41.08,8680
2013-09-05,41.19,41.21,40.98,41.06,9750
2013-09-06,41.08,41.25,40.81,41,12754
2013-09-09,41.24,41.45,41.24,41.43,8965
2013-09-10,41.62,41.73,41.62,41.71,6993
2013-09-11,41.76,41.76,41.55,41.66,10230
2013-09-12,41.76,41.8,41.64,41.69,15844
2013-09-13,41.78,41.84,41.73,41.84,1700
2013-09-16,41.9,42.05,41.89,41.91,10136
2013-09-17,42.03,42.11,42.03,42.06,7344
2013-09-18,42.04,42.41,41.86,42.41,5878
2013-09-19,42.87,42.87,42.15,42.3,32328
2013-09-20,42.42,42.42,42.15,42.15,10339
2013-09-23,42.2,42.28,41.93,42,9871
2013-09-24,42.04,42.07,41.83,41.83,5300
2013-09-25,42.17,42.17,41.73,41.89,29947
2013-09-26,41.9,41.9,41.8,41.89,3605
2013-09-27,42.38,42.38,41.66,41.66,2358
2013-09-30,41.53,41.63,41.44,41.5,2403
2013-10-01,41.63,41.85,41.62,41.85,8069
2013-10-02,41.65,41.8,41.59,41.73,7923
2013-10-03,42.16,42.16,41.31,41.44,6956
2013-10-04,41.58,41.83,41.58,41.74,16599
2013-10-07,41.21,41.68,41.21,41.68,10128
2013-10-08,41.46,41.46,41.08,41.08,5400
2013-10-09,41.04,41.2,40.85,41.15,4303
2013-10-10,41.7,41.75,41.34,41.75,14878
2013-10-11,41.89,42.04,41.87,42.04,1539
2013-10-14,42.14,42.31,42.14,42.17,1727
2013-10-15,42.3,42.34,42.06,42.08,6436
2013-10-16,42.2,42.44,42.2,42.44,5894
2013-10-17,42.4,42.81,42.4,42.81,10832
2013-10-18,42.65,42.95,42.65,42.95,7765
2013-10-21,42.97,42.97,42.85,42.85,6957
2013-10-22,43.16,43.19,42.94,43.16,3163
2013-10-23,43,43,42.74,42.74,7207
2013-10-24,42.88,43.06,42.88,43,10736
2013-10-25,42.99,43.07,42.95,43.03,1991
2013-10-28,42.83,43.14,42.83,43.13,22591
2013-10-29,43.2,43.22,43.2,43.22,308
2013-10-30,43.3,43.31,43.2,43.2,612
2013-10-31,43.24,43.24,43.13,43.17,2460
2013-11-01,43.37,43.37,43.07,43.27,7096
2013-11-04,43.24,43.42,43.24,43.42,6412
2013-11-05,43.12,43.32,43.12,43.25,5324
2013-11-06,43.49,43.49,43.2,43.45,9920
2013-11-07,43.25,43.33,43,43.01,7785
2013-11-08,43.08,43.38,43,43.35,32162
2013-11-11,43.44,43.49,43.44,43.48,4800
2013-11-12,43.42,43.48,43.35,43.45,12769
2013-11-13,43.28,43.56,43.28,43.56,10197
2013-11-14,43.78,43.86,43.71,43.86,9597
2013-11-15,44.32,44.32,43.8,43.93,16500
2013-11-18,44.15,44.15,43.75,43.79,6929
2013-11-19,43.89,43.89,43.7,43.78,3270
2013-11-20,43.98,43.98,43.55,43.64,35296
2013-11-21,43.69,43.84,43.65,43.78,8649
2013-11-22,44.04,44.04,43.79,44,4586
2013-11-25,43.98,44,43.9,43.93,2008
2013-11-26,43.94,43.99,43.88,43.88,5046
2013-11-27,44,44.05,43.98,44.05,3140
2013-11-29,44.12,44.14,44.12,44.14,300
2013-12-02,44.33,44.33,43.93,43.93,7280
2013-12-03,44.3,44.3,43.65,43.84,9039
2013-12-04,43.76,43.9,43.51,43.79,7602
2013-12-05,43.65,43.71,43.52,43.61,9473
2013-12-06,44.09,44.09,43.84,43.93,7529
2013-12-09,44.2,44.2,44.02,44.1,6587
2013-12-10,44.23,44.23,43.99,44.04,3803
2013-12-11,43.85,43.85,43.66,43.66,5105
2013-12-12,43.53,43.57,43.46,43.54,8457
